account_length,intertiol_plan,number_vm_messages,total_day_min,total_day_calls,total_eve_min,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,service quality,priority customer level,total data usage,network coverage,total messages usage,Churn,total_mins,total_calls,total_charge,avg_min_per_call
128.0,0,25.0,265.1,110.0,197.4,99.0,244.7,91.0,10.0,3.0,1.0,9.0,2.0,1.0,173.0,266.0,0,707.2,300.0,72.86,2.3573333333333335
107.0,0,26.0,161.6,123.0,195.5,103.0,254.4,103.0,13.7,3.0,1.0,6.0,2.0,19.0,271.0,361.0,0,611.5,329.0,55.540000000000006,1.858662613981763
137.0,0,0.0,243.4,114.0,121.2,110.0,162.6,104.0,12.2,5.0,0.0,0.0,1.0,53.0,805.0,623.0,0,527.2,328.0,59.00000000000001,1.6073170731707318
84.0,1,0.0,299.4,71.0,64.78750000000001,88.0,196.9,89.0,6.6,7.0,2.0,6.0,3.0,17.0,896.0,686.0,0,561.0875,248.0,65.26,2.2624495967741933
75.0,1,0.0,166.7,113.0,148.3,122.0,186.9,121.0,10.1,3.0,3.0,6.0,3.0,62.0,944.0,140.0,0,501.9,356.0,49.36,1.4098314606741573
118.0,1,0.0,223.4,98.0,220.6,101.0,203.9,118.0,6.3,6.0,0.0,0.0,1.0,55.0,933.0,148.0,0,647.9,317.0,65.91,2.04384858044164
121.0,0,24.0,218.2,88.0,335.6875,108.0,212.6,118.0,7.5,7.0,3.0,7.0,3.0,6.0,881.0,693.0,0,766.4875000000001,314.0,75.19999999999999,2.4410429936305733
147.0,1,0.0,157.0,79.0,103.1,94.0,211.8,96.0,7.1,6.0,0.0,0.0,3.0,53.0,249.0,391.0,0,471.90000000000003,269.0,44.980000000000004,1.7542750929368032
117.0,0,0.0,184.5,97.0,335.6875,80.0,215.8,90.0,8.7,4.0,1.0,6.0,2.0,17.0,999.0,426.0,0,735.9875,267.0,69.62,2.7565074906367037
141.0,1,37.0,258.6,84.0,222.0,111.0,326.4,97.0,11.2,5.0,0.0,0.0,1.0,29.0,532.0,470.0,0,807.0,292.0,77.52,2.7636986301369864
65.0,0,0.0,129.1,137.0,228.5,83.0,208.8,111.0,12.7,6.0,3.5,2.0,1.0,5.0,100.0,325.0,1,566.4000000000001,331.0,50.77,1.7111782477341393
74.0,0,0.0,187.7,127.0,163.4,148.0,196.0,94.0,9.1,5.0,0.0,0.0,1.0,8.0,110.0,520.0,0,547.1,369.0,54.62,1.4826558265582657
168.0,0,0.0,128.8,96.0,104.9,71.0,141.1,128.0,11.2,2.0,1.0,7.0,1.0,60.0,436.0,532.0,0,374.8,295.0,37.17,1.2705084745762711
95.0,0,0.0,156.6,88.0,247.6,75.0,192.3,115.0,12.3,5.0,3.0,4.0,1.0,58.0,846.0,396.0,0,596.5,278.0,56.32,2.1456834532374103
62.0,0,0.0,120.7,70.0,307.2,76.0,203.0,99.0,13.1,6.0,3.5,6.0,2.0,44.0,905.0,486.0,0,630.9,245.0,55.769999999999996,2.5751020408163265
161.0,0,0.0,324.95,67.0,317.8,97.0,160.6,128.0,5.4,9.0,3.5,0.0,1.0,3.0,315.0,408.0,1,803.35,292.0,89.47000000000001,2.751198630136986
85.0,0,27.0,196.4,139.0,280.9,90.0,89.3,75.0,13.8,4.0,1.0,9.0,2.0,1.0,417.0,486.0,0,566.5999999999999,304.0,61.28999999999999,1.863815789473684
93.0,0,0.0,190.7,114.0,218.2,111.0,129.6,121.0,8.1,3.0,3.0,9.0,3.0,2.0,750.0,572.0,0,538.5,346.0,56.8,1.55635838150289
76.0,0,33.0,189.7,66.0,212.8,65.0,165.7,108.0,10.0,5.0,1.0,9.0,1.0,48.0,634.0,270.0,0,568.2,239.0,57.800000000000004,2.377405857740586
73.0,0,0.0,224.4,90.0,159.5,88.0,192.8,74.0,13.0,2.0,1.0,7.0,3.0,2.0,810.0,412.0,0,576.7,252.0,60.39,2.288492063492064
147.0,0,0.0,155.1,117.0,239.7,93.0,208.8,133.0,10.6,4.0,0.0,0.0,1.0,56.0,290.0,593.0,0,603.5999999999999,343.0,56.14,1.7597667638483963
77.0,0,0.0,62.4,89.0,169.9,121.0,209.6,64.0,5.7,6.0,3.5,0.0,1.0,1.0,307.0,143.0,1,441.9,274.0,34.48,1.6127737226277372
130.0,0,0.0,183.0,112.0,72.9,99.0,181.8,78.0,9.5,10.5,0.0,0.0,3.0,22.0,176.0,688.0,0,437.70000000000005,289.0,45.49,1.5145328719723186
111.0,0,0.0,110.4,103.0,137.3,102.0,189.6,105.0,7.7,6.0,2.0,7.0,3.0,10.0,160.0,556.0,0,437.3,310.0,38.97,1.4106451612903226
132.0,0,0.0,81.1,86.0,245.2,72.0,237.0,115.0,10.3,2.0,0.0,0.0,2.0,13.0,118.0,515.0,0,563.3,273.0,45.3,2.063369963369963
174.0,0,0.0,124.3,76.0,277.1,112.0,250.7,115.0,15.5,5.0,3.0,5.0,3.0,20.0,646.0,247.0,0,652.1,303.0,55.96,2.152145214521452
