State,account_length,intertiol_plan,number_vm_messages,total_day_min,total_day_calls,total_eve_min,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,customer_service_calls,service quality,priority customer level,total data usage,network coverage,total messages usage,total_mins,total_calls,total_charge,avg_min_per_call
16,128.0,0,25.0,265.1,110.0,197.4,99.0,244.7,91.0,10.0,3.0,1.0,9.0,2.0,1.0,173.0,266.0,707.2,300.0,72.86,2.3573333333333335
35,107.0,0,26.0,161.6,123.0,195.5,103.0,254.4,103.0,13.7,3.0,1.0,6.0,2.0,19.0,271.0,361.0,611.5,329.0,55.540000000000006,1.858662613981763
31,137.0,0,0.0,243.4,114.0,121.2,110.0,162.6,104.0,12.2,5.0,0.0,0.0,1.0,53.0,805.0,623.0,527.2,328.0,59.00000000000001,1.6073170731707318
35,84.0,1,0.0,299.4,71.0,64.78750000000001,88.0,196.9,89.0,6.6,7.0,2.0,6.0,3.0,17.0,896.0,686.0,561.0875,248.0,65.26,2.2624495967741933
36,75.0,1,0.0,166.7,113.0,148.3,122.0,186.9,121.0,10.1,3.0,3.0,6.0,3.0,62.0,944.0,140.0,501.9,356.0,49.36,1.4098314606741573
1,118.0,1,0.0,223.4,98.0,220.6,101.0,203.9,118.0,6.3,6.0,0.0,0.0,1.0,55.0,933.0,148.0,647.9,317.0,65.91,2.04384858044164
19,121.0,0,24.0,218.2,88.0,335.6875,108.0,212.6,118.0,7.5,7.0,3.0,7.0,3.0,6.0,881.0,693.0,766.4875000000001,314.0,75.19999999999999,2.4410429936305733
24,147.0,1,0.0,157.0,79.0,103.1,94.0,211.8,96.0,7.1,6.0,0.0,0.0,3.0,53.0,249.0,391.0,471.90000000000003,269.0,44.980000000000004,1.7542750929368032
18,117.0,0,0.0,184.5,97.0,335.6875,80.0,215.8,90.0,8.7,4.0,1.0,6.0,2.0,17.0,999.0,426.0,735.9875,267.0,69.62,2.7565074906367037
49,141.0,1,37.0,258.6,84.0,222.0,111.0,326.4,97.0,11.2,5.0,0.0,0.0,1.0,29.0,532.0,470.0,807.0,292.0,77.52,2.7636986301369864
