iter	Passed	Remaining
0	173	691858
1	190	379946
2	218	291176
3	249	249081
4	273	218587
5	293	195144
6	309	176576
7	324	162042
8	338	150324
9	352	140633
10	367	133163
11	380	126435
12	385	118177
13	399	113700
14	413	109751
15	426	106212
16	438	102827
17	445	98659
18	459	96377
19	473	94253
20	486	92238
21	500	90523
22	508	87915
23	513	85043
24	526	83732
25	541	82799
26	554	81664
27	567	80440
28	575	78755
29	589	78007
30	592	75802
31	605	75100
32	618	74350
33	633	73936
34	647	73350
35	662	72895
36	675	72338
37	690	71953
38	703	71441
39	705	69887
40	719	69500
41	733	69078
42	747	68814
43	751	67550
44	755	66433
45	769	66137
46	783	65858
47	791	65174
48	805	64978
49	820	64820
50	835	64696
51	849	64515
52	863	64329
53	877	64147
54	891	63910
55	904	63713
56	918	63545
57	932	63350
58	945	63187
59	951	62461
60	963	62228
61	967	61430
62	980	61300
63	995	61235
64	1009	61111
65	1024	61065
66	1039	61034
67	1053	60938
68	1068	60869
69	1076	60410
70	1079	59761
71	1088	59381
72	1102	59322
73	1116	59234
74	1128	59084
75	1134	58553
76	1139	58034
77	1153	57977
78	1167	57928
79	1181	57877
80	1188	57488
81	1201	57427
82	1216	57420
83	1232	57467
84	1247	57451
85	1250	56925
86	1265	56924
87	1280	56913
88	1294	56886
89	1309	56879
90	1313	56436
91	1327	56402
92	1341	56351
93	1356	56374
94	1370	56336
95	1384	56289
96	1398	56264
97	1411	56214
98	1424	56147
99	1437	56064
100	1450	56008
101	1464	55962
102	1471	55669
103	1485	55665
104	1500	55653
105	1502	55203
106	1516	55164
107	1521	54829
108	1534	54794
109	1547	54735
110	1561	54709
111	1574	54669
112	1587	54605
113	1600	54545
114	1613	54511
115	1621	54285
116	1624	53914
117	1636	53852
118	1650	53818
119	1663	53772
120	1669	53535
121	1683	53510
122	1690	53283
123	1703	53243
124	1716	53221
125	1729	53170
126	1742	53133
127	1755	53089
128	1767	53031
129	1780	53008
130	1794	53013
131	1809	53012
132	1812	52701
133	1826	52682
134	1839	52664
135	1859	52830
136	1872	52811
137	1887	52814
138	1903	52872
139	1918	52898
140	1925	52687
141	1927	52361
142	1940	52338
143	1954	52324
144	1967	52303
145	1981	52301
146	1998	52379
147	2014	52431
148	2032	52537
149	2048	52581
150	2063	52608
151	2079	52632
152	2094	52657
153	2109	52675
154	2126	52744
155	2141	52759
156	2155	52750
157	2169	52750
158	2176	52589
159	2191	52597
160	2209	52688
161	2230	52833
162	2247	52898
163	2269	53093
164	2286	53152
165	2307	53304
166	2337	53645
167	2363	53900
168	2379	53936
169	2400	54071
170	2412	54012
171	2425	53977
172	2443	54046
173	2456	54012
174	2468	53963
175	2481	53913
176	2493	53864
177	2506	53821
178	2519	53790
179	2533	53760
180	2546	53736
181	2560	53710
182	2573	53680
183	2587	53653
184	2603	53678
185	2616	53657
186	2630	53628
187	2644	53624
188	2648	53402
189	2662	53385
190	2676	53369
191	2690	53357
192	2703	53328
193	2719	53356
194	2732	53325
195	2747	53332
196	2759	53275
197	2772	53245
198	2786	53221
199	2804	53292
200	2824	53393
201	2843	53459
202	2861	53513
203	2878	53562
204	2893	53572
205	2907	53553
206	2921	53525
207	2933	53476
208	2946	53443
209	2959	53408
210	2972	53374
211	2985	53337
212	2997	53291
213	3011	53274
214	3023	53231
215	3037	53220
216	3054	53245
217	3068	53241
218	3076	53109
219	3090	53099
220	3105	53095
221	3120	53106
222	3130	53025
223	3146	53036
224	3160	53018
225	3167	52898
226	3182	52897
227	3198	52916
228	3214	52937
229	3230	52950
230	3245	52954
231	3261	52964
232	3270	52867
233	3285	52871
234	3300	52880
235	3316	52897
236	3332	52914
237	3349	52940
238	3365	52965
239	3381	52980
240	3397	52998
241	3413	53015
242	3430	53038
243	3446	53050
244	3463	53087
245	3478	53086
246	3495	53112
247	3513	53153
248	3533	53226
249	3550	53252
250	3569	53312
251	3585	53325
252	3602	53360
253	3669	54116
254	3686	54137
255	3703	54169
256	3718	54153
257	3736	54200
258	3769	54442
259	3788	54495
260	3802	54480
261	3806	54312
262	3821	54304
263	3838	54323
264	3856	54350
265	3871	54351
266	3887	54351
267	3902	54346
268	3917	54333
269	3937	54398
270	3952	54386
271	3967	54375
272	3984	54399
273	4000	54403
274	4016	54411
275	4032	54407
276	4035	54241
277	4049	54222
278	4067	54243
279	4084	54261
280	4100	54275
281	4115	54264
282	4129	54241
283	4145	54243
284	4162	54253
285	4177	54247
286	4192	54239
287	4206	54219
288	4220	54198
289	4235	54187
290	4250	54173
291	4264	54148
292	4280	54155
293	4295	54149
294	4310	54136
295	4324	54117
296	4329	53976
297	4342	53950
298	4356	53927
299	4370	53897
300	4385	53894
301	4400	53884
302	4415	53872
303	4430	53868
304	4443	53834
305	4459	53835
306	4473	53818
307	4488	53799
308	4504	53800
309	4518	53783
310	4534	53783
311	4553	53826
312	4570	53838
313	4587	53856
314	4604	53869
315	4620	53861
316	4635	53852
317	4650	53842
318	4664	53820
319	4676	53785
320	4689	53751
321	4704	53741
322	4718	53717
323	4732	53693
324	4746	53673
325	4761	53659
326	4774	53624
327	4788	53612
328	4803	53601
329	4817	53580
330	4832	53560
331	4846	53543
332	4860	53528
333	4875	53518
334	4890	53498
335	4904	53479
336	4919	53467
337	4933	53446
338	4947	53424
339	4961	53405
340	4975	53385
341	4988	53360
342	5003	53348
343	5018	53340
344	5033	53325
345	5046	53295
346	5060	53273
347	5074	53254
348	5087	53225
349	5101	53200
350	5115	53177
351	5129	53163
352	5143	53136
353	5157	53121
354	5170	53091
355	5184	53070
356	5198	53049
357	5212	53027
358	5225	52997
359	5238	52969
360	5252	52945
361	5265	52912
362	5277	52878
363	5292	52866
364	5305	52840
365	5319	52813
366	5332	52789
367	5345	52761
368	5359	52739
369	5374	52726
370	5388	52708
371	5402	52691
372	5416	52673
373	5432	52668
374	5441	52598
375	5456	52589
376	5470	52570
377	5485	52566
378	5500	52556
379	5515	52541
380	5530	52535
381	5545	52521
382	5559	52500
383	5573	52486
384	5588	52475
385	5603	52460
386	5617	52445
387	5634	52449
388	5648	52432
389	5662	52417
390	5677	52405
391	5691	52386
392	5707	52385
393	5721	52361
394	5734	52339
395	5748	52314
396	5761	52287
397	5775	52269
398	5788	52244
399	5801	52216
400	5816	52201
401	5830	52180
402	5859	52299
403	5873	52277
404	5887	52263
405	5902	52246
406	5916	52228
407	5929	52206
408	5944	52191
409	5960	52187
410	5973	52161
411	5987	52144
412	6001	52125
413	6015	52105
414	6028	52079
415	6042	52055
416	6055	52034
417	6069	52014
418	6084	52003
419	6098	51983
420	6113	51973
421	6127	51952
422	6140	51922
423	6153	51894
424	6166	51873
425	6180	51849
426	6192	51814
427	6205	51788
428	6219	51770
429	6233	51749
430	6245	51716
431	6258	51687
432	6272	51669
433	6285	51641
434	6298	51622
435	6312	51596
436	6324	51566
437	6338	51550
438	6352	51525
439	6365	51500
440	6379	51482
441	6401	51530
442	6415	51514
443	6430	51502
444	6444	51486
445	6459	51473
446	6474	51464
447	6491	51464
448	6506	51454
449	6520	51438
450	6534	51420
451	6547	51398
452	6563	51389
453	6577	51370
454	6590	51351
455	6604	51331
456	6618	51313
457	6630	51280
458	6643	51251
459	6656	51224
460	6671	51215
461	6685	51198
462	6698	51174
463	6711	51147
464	6726	51132
465	6738	51104
466	6753	51095
467	6768	51083
468	6782	51063
469	6796	51042
470	6809	51021
471	6825	51014
472	6838	50991
473	6846	50929
474	6861	50917
475	6875	50898
476	6888	50877
477	6901	50851
478	6914	50828
479	6928	50810
480	6942	50790
481	6955	50767
482	6969	50750
483	6983	50731
484	6997	50715
485	7011	50695
486	7025	50678
487	7039	50661
488	7051	50628
489	7066	50621
490	7080	50599
491	7093	50580
492	7106	50554
493	7120	50533
494	7134	50519
495	7148	50498
496	7161	50479
497	7175	50459
498	7189	50442
499	7204	50430
500	7220	50425
501	7232	50399
502	7244	50368
503	7257	50343
504	7271	50323
505	7284	50302
506	7297	50273
507	7310	50250
508	7324	50232
509	7338	50216
510	7351	50197
511	7365	50174
512	7377	50146
513	7392	50139
514	7406	50120
515	7419	50096
516	7432	50071
517	7444	50045
518	7457	50018
519	7470	49992
520	7483	49972
521	7496	49948
522	7509	49922
523	7521	49897
524	7533	49867
525	7547	49845
526	7559	49821
527	7573	49799
528	7586	49780
529	7599	49752
530	7611	49727
531	7625	49710
532	7638	49688
533	7652	49669
534	7666	49652
535	7680	49636
536	7697	49641
537	7718	49668
538	7736	49678
539	7750	49661
540	7765	49648
541	7778	49629
542	7792	49612
543	7809	49610
544	7826	49614
545	7843	49616
546	7858	49606
547	7872	49588
548	7884	49562
549	7897	49536
550	7909	49507
551	7921	49480
552	7933	49453
553	7946	49428
554	7959	49405
555	7971	49379
556	7984	49355
557	7999	49345
558	8013	49326
559	8024	49296
560	8038	49277
561	8051	49251
562	8064	49231
563	8076	49204
564	8089	49183
565	8103	49166
566	8117	49145
567	8129	49122
568	8143	49102
569	8156	49081
570	8170	49064
571	8183	49043
572	8196	49023
573	8210	49008
574	8224	48992
575	8239	48976
576	8252	48956
577	8266	48942
578	8280	48927
579	8295	48912
580	8307	48887
581	8320	48866
582	8334	48846
583	8346	48821
584	8359	48802
585	8372	48777
586	8385	48756
587	8398	48734
588	8410	48707
589	8423	48685
590	8436	48664
591	8449	48640
592	8462	48619
593	8475	48597
594	8488	48574
595	8500	48550
596	8513	48528
597	8526	48505
598	8538	48482
599	8551	48458
600	8565	48441
601	8579	48426
602	8593	48410
603	8606	48391
604	8621	48378
605	8633	48354
606	8646	48332
607	8660	48314
608	8672	48289
609	8684	48262
610	8697	48242
611	8710	48220
612	8723	48200
613	8736	48177
614	8749	48156
615	8762	48135
616	8775	48115
617	8788	48094
618	8801	48071
619	8814	48052
620	8827	48035
621	8841	48018
622	8856	48008
623	8872	48004
624	8889	48002
625	8904	47993
626	8919	47983
627	8933	47968
628	8947	47951
629	8961	47936
630	8982	47960
631	9005	47990
632	9021	47988
633	9037	47982
634	9052	47970
635	9066	47956
636	9080	47941
637	9094	47922
638	9109	47912
639	9122	47894
640	9144	47918
641	9168	47955
642	9191	47985
643	9217	48033
644	9238	48056
645	9260	48081
646	9279	48090
647	9297	48092
648	9313	48089
649	9332	48095
650	9349	48097
651	9365	48093
652	9379	48074
653	9392	48052
654	9405	48031
655	9418	48009
656	9431	47988
657	9445	47974
658	9459	47955
659	9471	47933
660	9485	47916
661	9498	47895
662	9512	47877
663	9527	47866
664	9542	47855
665	9557	47846
666	9572	47831
667	9587	47820
668	9605	47825
669	9621	47819
670	9636	47811
671	9651	47799
672	9667	47790
673	9682	47779
674	9701	47791
675	9726	47826
676	9806	48133
677	9833	48182
678	9859	48223
679	9889	48285
680	9913	48317
681	9937	48346
682	9960	48375
683	9982	48393
684	10002	48407
685	10021	48412
686	10040	48419
687	10062	48440
688	10077	48429
689	10092	48415
690	10108	48404
691	10121	48385
692	10140	48390
693	10157	48385
694	10173	48377
695	10190	48376
696	10208	48377
697	10225	48375
698	10242	48370
699	10261	48373
700	10278	48373
701	10298	48384
702	10317	48387
703	10334	48382
704	10340	48329
705	10357	48327
706	10363	48270
707	10378	48255
708	10394	48249
709	10410	48241
710	10427	48234
711	10442	48222
712	10457	48208
713	10472	48195
714	10485	48176
715	10499	48155
716	10513	48140
717	10529	48129
718	10544	48115
719	10559	48104
720	10575	48094
721	10590	48080
722	10604	48063
723	10618	48045
724	10632	48028
725	10646	48013
726	10662	48004
727	10680	48001
728	10695	47989
729	10711	47979
730	10727	47973
731	10744	47970
732	10760	47962
733	10778	47959
734	10794	47953
735	10813	47954
736	10832	47959
737	10849	47957
738	10863	47937
739	10879	47927
740	10894	47916
741	10910	47906
742	10924	47889
743	10939	47876
744	10955	47864
745	10971	47855
746	10985	47838
747	11000	47824
748	11014	47808
749	11028	47788
750	11044	47779
751	11059	47767
752	11073	47751
753	11089	47739
754	11104	47725
755	11119	47711
756	11133	47697
757	11148	47681
758	11161	47659
759	11175	47642
760	11189	47623
761	11202	47603
762	11215	47582
763	11228	47559
764	11241	47536
765	11253	47511
766	11266	47489
767	11279	47467
768	11291	47441
769	11303	47418
770	11317	47398
771	11331	47380
772	11345	47361
773	11358	47341
774	11370	47317
775	11383	47294
776	11396	47271
777	11408	47246
778	11421	47223
779	11433	47201
780	11447	47181
781	11460	47161
782	11474	47142
783	11487	47123
784	11501	47105
785	11515	47085
786	11530	47074
787	11548	47073
788	11572	47097
789	11588	47086
790	11605	47083
791	11621	47074
792	11637	47062
793	11653	47052
794	11668	47039
795	11682	47024
796	11698	47013
797	11712	46997
798	11726	46979
799	11740	46961
800	11755	46948
801	11769	46931
802	11784	46919
803	11798	46901
804	11813	46885
805	11828	46873
806	11841	46853
807	11855	46834
808	11870	46821
809	11884	46806
810	11899	46792
811	11914	46776
812	11928	46761
813	11943	46747
814	11958	46732
815	11972	46714
816	11985	46693
817	11999	46676
818	12011	46654
819	12024	46632
820	12038	46613
821	12052	46595
822	12065	46577
823	12078	46556
824	12092	46537
825	12107	46524
826	12120	46504
827	12133	46484
828	12147	46465
829	12160	46445
830	12173	46425
831	12187	46406
832	12202	46394
833	12215	46373
834	12230	46357
835	12244	46339
836	12257	46321
837	12270	46300
838	12283	46280
839	12297	46262
840	12311	46244
841	12323	46221
842	12336	46199
843	12349	46177
844	12361	46155
845	12375	46136
846	12388	46117
847	12402	46098
848	12415	46080
849	12429	46062
850	12444	46048
851	12458	46033
852	12473	46017
853	12486	45998
854	12501	45984
855	12515	45969
856	12531	45958
857	12547	45949
858	12561	45933
859	12577	45921
860	12590	45901
861	12603	45881
862	12617	45866
863	12631	45848
864	12644	45827
865	12659	45812
866	12673	45795
867	12686	45776
868	12700	45758
869	12713	45738
870	12728	45725
871	12742	45707
872	12756	45694
873	12770	45677
874	12785	45662
875	12799	45647
876	12814	45631
877	12828	45614
878	12841	45594
879	12855	45579
880	12869	45560
881	12882	45540
882	12895	45522
883	12909	45504
884	12923	45487
885	12936	45467
886	12949	45448
887	12963	45428
888	12976	45409
889	12989	45390
890	13002	45369
891	13015	45350
892	13029	45332
893	13042	45313
894	13055	45294
895	13069	45277
896	13083	45258
897	13096	45238
898	13110	45224
899	13124	45206
900	13139	45193
901	13152	45174
902	13167	45161
903	13184	45154
904	13198	45137
905	13212	45119
906	13226	45105
907	13240	45086
908	13253	45068
909	13266	45048
910	13280	45030
911	13294	45015
912	13307	44996
913	13321	44978
914	13335	44960
915	13348	44940
916	13360	44918
917	13374	44901
918	13387	44883
919	13400	44863
920	13413	44842
921	13426	44822
922	13439	44802
923	13452	44783
924	13465	44763
925	13478	44743
926	13492	44727
927	13505	44708
928	13518	44687
929	13531	44669
930	13544	44649
931	13557	44628
932	13570	44607
933	13583	44588
934	13590	44549
935	13602	44528
936	13615	44509
937	13628	44489
938	13641	44469
939	13654	44448
940	13667	44429
941	13681	44415
942	13698	44406
