account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,total_mins,total_calls,total_charge,avg_min_per_call
15.0,1,0,0,0.0,121.1,130.0,20.59,216.0,86.0,18.36,235.1,50.5,10.58,16.1,5.0,4.35,2.0,572.2,266.5,49.53,2.147091932457786
105.0,1,0,0,0.0,259.3,96.0,44.08,175.2,97.0,14.89,222.4,50.5,10.01,12.0,5.0,3.24,3.0,656.9,243.5,68.98,2.697741273100616
97.0,1,0,1,32.0,183.4,94.0,31.18,269.1,120.0,22.87,203.5,50.5,9.16,6.7,4.0,1.81,5.0,656.0,264.5,63.209999999999994,2.4801512287334595
121.0,0,0,1,35.0,68.7,95.0,11.68,209.2,69.0,17.78,197.4,50.5,8.88,11.4,4.0,3.08,1.0,475.29999999999995,214.5,38.34,2.2158508158508154
98.0,1,0,1,22.0,278.3,89.0,47.31,93.4,143.0,7.94,107.6,50.5,4.84,9.7,5.0,2.62,0.0,479.30000000000007,282.5,60.09,1.6966371681415933
151.0,0,0,1,17.0,214.7,97.0,36.5,138.5,90.0,11.77,169.1,50.5,7.61,8.6,4.0,2.32,1.0,522.3,237.5,55.879999999999995,2.199157894736842
170.0,1,0,1,42.0,185.5,111.0,34.92,145.0,94.0,11.48,175.6,50.5,8.31,10.9,3.0,2.94,4.0,506.1,255.5,54.71000000000001,1.9808219178082194
39.0,0,0,0,0.0,60.4,157.0,10.27,306.2,120.0,26.03,123.9,50.5,5.58,12.4,3.0,3.35,1.0,490.5,327.5,41.879999999999995,1.497709923664122
94.0,2,0,0,0.0,262.2,105.0,48.1,216.6,102.0,18.22,235.6,50.5,9.97,11.5,3.0,3.11,3.0,714.4,257.5,76.28999999999999,2.774368932038835
93.0,2,1,0,0.0,168.4,114.0,28.63,276.0,127.0,23.46,196.2,50.5,8.83,11.4,3.0,3.08,1.0,640.5999999999999,291.5,60.92,2.1975986277873067
170.0,1,0,1,42.0,199.5,119.0,33.92,135.0,90.0,11.48,184.6,50.5,8.31,10.9,3.0,2.94,4.0,519.1,259.5,53.71000000000001,2.0003853564547205
137.0,2,0,0,0.0,242.1,118.0,41.16,191.0,93.0,16.24,218.6,50.5,9.84,14.7,2.0,3.97,3.0,651.7,261.5,67.24,2.492160611854685
85.0,1,0,0,0.0,176.4,122.0,29.99,224.9,123.0,19.12,219.6,50.5,9.88,11.5,1.0,3.11,1.0,620.9,295.5,58.99,2.1011844331641285
121.0,2,0,0,0.0,177.2,142.0,30.12,123.5,88.0,10.5,213.2,51.0,9.59,8.4,6.0,2.27,1.0,513.9,281.0,50.21000000000001,1.8288256227758006
94.0,2,0,0,0.0,271.2,105.0,46.1,202.6,105.0,17.22,221.6,51.0,9.97,11.5,3.0,3.11,3.0,695.4,261.0,73.29,2.664367816091954
113.0,1,0,1,30.0,183.8,102.0,31.25,183.4,123.0,15.59,235.0,52.0,10.58,11.6,7.0,3.13,0.0,602.2,277.0,57.42,2.1740072202166068
101.0,1,0,0,0.0,154.4,130.0,26.25,217.2,101.0,18.46,185.4,52.0,8.34,13.9,4.0,3.75,1.0,557.0,283.0,53.05,1.9681978798586572
32.0,2,0,0,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2.0,1.7,0.0,572.3,230.0,62.11,2.488260869565217
149.0,0,0,0,0.0,69.1,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0,387.1,270.0,31.52,1.4337037037037037
105.0,1,0,0,0.0,101.4,48.0,17.24,159.1,119.0,13.52,259.2,53.0,11.66,12.2,2.0,3.29,1.0,519.7,220.0,42.42,2.3622727272727273
54.0,2,0,0,0.0,210.5,102.0,35.79,204.5,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0,542.8,238.0,58.92,2.280672268907563
149.0,0,0,1,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,634.0,209.0,58.629999999999995,3.0334928229665072
52.0,2,1,0,0.0,251.4,118.0,42.74,196.6,80.0,16.71,192.0,53.0,8.64,11.0,2.0,2.97,0.0,640.0,251.0,68.09,2.549800796812749
174.0,0,0,0,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0,528.6,245.0,54.599999999999994,2.1575510204081634
160.0,0,0,0,0.0,82.7,116.0,14.06,194.6,95.0,16.54,159.0,54.0,7.15,10.9,9.0,2.94,0.0,436.3,265.0,37.75,1.6464150943396227
122.0,2,0,0,0.0,157.1,133.0,25.71,191.9,121.0,16.72,193.2,54.0,8.87,8.5,5.0,2.3,4.0,542.2,308.0,51.3,1.7603896103896106
96.0,0,0,1,29.0,150.0,91.0,25.5,159.4,75.0,13.55,228.1,55.0,10.26,8.5,3.0,2.3,1.0,537.5,221.0,49.309999999999995,2.432126696832579
79.0,1,0,0,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55.0,10.71,11.4,5.0,3.08,1.0,490.8,274.0,35.77,1.7912408759124088
